privateQuery,scrambledQuery,score
common schizophrenia drugs,clozapine ziprasidone eMedTV fluphenazine,1
common schizophrenia drugs,Respirdol antipsychotic misspelling,1
common schizophrenia drugs,ziprasidone fluphenazine,1
common schizophrenia drugs,symptoms Risperdal misspelling,1
common schizophrenia drugs,emedtv page emedtv resource emedtv web page emedtv segment,1
common schizophrenia drugs,links box emedtv page top article page emedtv resource emedtv segment,1
common schizophrenia drugs,Zyprexa bipolar misspelling,1
common schizophrenia drugs,safety Seroquel explains,1
common schizophrenia drugs,eMedTV fluphenazine Invega ziprasidone,1
common schizophrenia drugs,bipolar explains antipsychotic,1
common schizophrenia drugs,Schizophrana,0
common schizophrenia drugs,links box emedtv article emedtv page emedtv resource emedtv segment,1
common schizophrenia drugs,clozapine fluphenazine Invega ziprasidone,1
common schizophrenia drugs,emedtv page emedtv resource page emedtv web site links box,1
common schizophrenia drugs,As Cyprexa,1
common schizophrenia drugs,antipsychotic treating misspelling,1
common schizophrenia drugs,links box emedtv article favorite article emedtv resource emedtv segment,1
common schizophrenia drugs,Seroquel explains,1
common schizophrenia drugs,links box favorite article emedtv page emedtv resource emedtv segment,1
common schizophrenia drugs,prochlorperazine side Fluphenazine eMedTV,1
common schizophrenia drugs,quetiapine Fluphenazine,1
common schizophrenia drugs,symptoms antipsychotic misspelling,1
common schizophrenia drugs,Risperadol,1
common schizophrenia drugs,Risperdal misspelling withdrawal,1
common schizophrenia drugs,prochlorperazine Fluphenazine Risperdal quetiapine eMedTV,1
common schizophrenia drugs,Seriquel,1
common schizophrenia drugs,describing explaining Risperdal,1
common schizophrenia drugs,fluphenazine side symptoms ziprasidone,1
common schizophrenia drugs,myoglobulinuria,1
common schizophrenia drugs,bipolar antipsychotic eMedTV explains,1
common schizophrenia drugs,Seroquel side explains treatment,1
common schizophrenia drugs,Risperdal eMedTV quetiapine,1
common schizophrenia drugs,antipsychotic page misspelling,1
common schizophrenia drugs,antipsychotic listing eMedTV,1
common schizophrenia drugs,discusses antipsychotic eMedTV,1
common schizophrenia drugs,symptoms treat side antipsychotics explains,1
common schizophrenia drugs,Saraquil,1
common schizophrenia drugs,emedtv article emedtv page click term use information emedtv resource emedtv segment,1
common schizophrenia drugs,links box emedtv article emedtv resource emedtv segment,1
common schizophrenia drugs,emedtv resource emedtv segment favorite article,1
common schizophrenia drugs,segment Risperdal explains,1
common schizophrenia drugs,Geoden This,1
common schizophrenia drugs,Resperdol This,1
common schizophrenia drugs,emedtv article emedtv resource emedtv segment click term use information,1
common schizophrenia drugs,Saraquil This,1
common schizophrenia drugs,effects antipsychotic misspelling,1
common schizophrenia drugs,Respirdol,1
common schizophrenia drugs,eMedTV side antipsychotics,1
common schizophrenia drugs,explain treatment antipsychotic,1
common schizophrenia drugs,emedtv page,1
common schizophrenia drugs,warns bipolar potentially,1
common schizophrenia drugs,clozapine aripiprazole,1
common schizophrenia drugs,Zyprexa explains misspelling,1
common schizophrenia drugs,favorite article page emedtv web site emedtv page emedtv resource,1
common schizophrenia drugs,prochlorperazine Fluphenazine Risperdal quetiapine,1
common schizophrenia drugs,Risperdal eMedTV prochlorperazine,1
common schizophrenia drugs,eMedTV aripiprazole chlorpromazine,1
common schizophrenia drugs,emedtv web page emedtv page,1
common schizophrenia drugs,symptoms Risperidol Risperdal withdrawal eMedTV misspelling,1
common schizophrenia drugs,Risperdal explains eMedTV,1
common schizophrenia drugs,Risperdal explains describes,1
common schizophrenia drugs,antipsychotic conditions misspelling,1
common schizophrenia drugs,symptoms side eMedTV fluphenazine,1
common schizophrenia drugs,explores antipsychotic eMedTV,1
common schizophrenia drugs,treat antipsychotic misspelling,1
common schizophrenia drugs,Risperdal eMedTV prochlorperazine Fluphenazine,1
common schizophrenia drugs,emedtv page emedtv resource favorite article links box,1
common schizophrenia drugs,describing Risperdal explains,1
common schizophrenia drugs,emedtv resource emedtv web page emedtv segment click term use information,1
common schizophrenia drugs,treatment antipsychotic explains,1
common schizophrenia drugs,eMedTV antipsychotics explains,1
common schizophrenia drugs,emedtv page emedtv resource links box top article page,1
common schizophrenia drugs,Invega ziprasidone fluphenazine,1
common schizophrenia drugs,Antipsychotics detail eMedTV,1
common schizophrenia drugs,antipsychotic explains vomiting,1
common schizophrenia drugs,treatment side Seroquel bipolar eMedTV explains,1
common schizophrenia drugs,symptoms treat antipsychotics explains,1
common schizophrenia drugs,Envega This,1
common schizophrenia drugs,link short description page emedtv page emedtv resource,1
common schizophrenia drugs,Resperidone,1
common schizophrenia drugs,Zyprexa misspelling,1
common schizophrenia drugs,eMedTV treat side antipsychotics,1
common schizophrenia drugs,Risperdal eMedTV symptoms Risperdol,1
common schizophrenia drugs,segment Risperdal describes,1
common schizophrenia drugs,Risperdal withdrawal eMedTV misspelling,1
common schizophrenia drugs,treatment antipsychotics explains,1
common schizophrenia drugs,lists explains Chlorpromazine,1
common schizophrenia drugs,segment Risperdal eMedTV,1
common schizophrenia drugs,explaining Risperdal eMedTV,1
common schizophrenia drugs,Invega eMedTV fluphenazine,1
common schizophrenia drugs,antipsychotics detail eMedTV,1
common schizophrenia drugs,effects antipsychotic explains,1
common schizophrenia drugs,Schizophernia,0
common schizophrenia drugs,emedtv web page links box emedtv article emedtv page emedtv resource emedtv segment,1
common schizophrenia drugs,warnings bipolar describes,1
common schizophrenia drugs,clozapine Invega,1
common schizophrenia drugs,side antipsychotics explains,1
common schizophrenia drugs,ziprasidone eMedTV fluphenazine,1
common schizophrenia drugs,warnings bipolar explains,1
common schizophrenia drugs,Risperdol,1
common schizophrenia drugs,explores antipsychotic explains,1
common schizophrenia drugs,antipsychotic misspelling covers,1
common schizophrenia drugs,Seroquel eMedTV explains weight,1
common schizophrenia drugs,emedtv page emedtv resource favorite article,1
common schizophrenia drugs,Risperadone,1
common schizophrenia drugs,prochlorperazine explains,1
common schizophrenia drugs,favorite article emedtv page emedtv resource emedtv segment,1
common schizophrenia drugs,emedtv article emedtv segment,1
common schizophrenia drugs,Proclorperazine,1
common schizophrenia drugs,prochlorperazine side quetiapine eMedTV,1
common schizophrenia drugs,symptoms Risperdal eMedTV misspelling,1
common schizophrenia drugs,precautions segment bipolar,1
common schizophrenia drugs,prochlorperazine Fluphenazine,1
common schizophrenia drugs,antipsychotic misspelling describes,1
common schizophrenia drugs,Clorpromazine,1
common schizophrenia drugs,click term use information emedtv resource emedtv segment,1
common schizophrenia drugs,licensed Risperdal misspelling,1
common schizophrenia drugs,emedtv web page links box link short description page emedtv page emedtv resource emedtv segment,1
common schizophrenia drugs,This Schizaphrenia,1
common schizophrenia drugs,treat side antipsychotics explains,1
common schizophrenia drugs,symptoms treat side antipsychotics eMedTV explains,1
common schizophrenia drugs,lists antipsychotics eMedTV,1
common schizophrenia drugs,emedtv page emedtv resource,1
common schizophrenia drugs,emedtv web page links box emedtv page click term use information emedtv resource emedtv segment,1
common schizophrenia drugs,Risperdal eMedTV misspelling,1
common schizophrenia drugs,Risperdal eMedTV quetiapine Fluphenazine,1
common schizophrenia drugs,Risperidol Risperdol Risperdal eMedTV misspelling,1
common schizophrenia drugs,emedtv web page links box emedtv article emedtv page click term use information emedtv resource emedtv segment,1
common schizophrenia drugs,quetiapine prochlorperazine Fluphenazine,1
common schizophrenia drugs,chlorpromazine eMedTV explains,1
common schizophrenia drugs,clozapine Invega ziprasidone,1
common schizophrenia drugs,side antipsychotics eMedTV explains,1
common schizophrenia drugs,Seroquel eMedTV treatment,1
common schizophrenia drugs,Antipsychotics explains vomiting,1
common schizophrenia drugs,lists antipsychotic eMedTV,1
common schizophrenia drugs,Risperdal misspelling symptoms withdrawal,1
common schizophrenia drugs,Respiridone,1
common schizophrenia drugs,quetiapine prochlorperazine,1
common schizophrenia drugs,antipsychotic detail eMedTV,1
common schizophrenia drugs,antipsychotic eMedTV describes,1
common schizophrenia drugs,Risperdol Risperdal withdrawal eMedTV misspelling,1
common schizophrenia drugs,A Seriquel,1
common schizophrenia drugs,Risperdal prochlorperazine Fluphenazine,1
common schizophrenia drugs,Geodin,1
common schizophrenia drugs,emedtv web page link short description page emedtv page emedtv resource,1
common schizophrenia drugs,describing Risperdal eMedTV,1
common schizophrenia drugs,explain treatment antipsychotics,1
common schizophrenia drugs,antipsychotic explains describes,1
common schizophrenia drugs,emedtv web page emedtv article favorite article click term use information emedtv resource emedtv segment,1
common schizophrenia drugs,effective antipsychotics eMedTV,1
common schizophrenia drugs,antipsychotic misspelling,1
common schizophrenia drugs,emedtv web page links box emedtv article top article page emedtv resource,1
common schizophrenia drugs,safety segment Seroquel,1
