privateQuery,scrambledQuery,score
ocd,FFC carers,1
ocd,obsession compulsion link external website uk profit charity organisation information purpose quality life advice doctor,0
ocd,medical information obsession compulsion uk profit charity organisation advice doctor,0
ocd,obsession compulsion compulsive disorder uk profit charity organisation information purpose cognitive behavioural therapy,0
ocd,Plaxil,1
ocd,CBT CMHT,1
ocd,FFC carers friends,1
ocd,autoimmune neuropsychiatric Misdiagnosis,1
ocd,compulsions CBT obsessions Understanding,1
ocd,CBT obsessions Understanding,1
ocd,uk profit charity organisation information purpose obsession compulsion quality life,0
ocd,CBT guide Pure,1
ocd,obsession compulsion compulsive disorder uk profit charity organisation information purpose advice doctor,0
ocd,CBT Understanding O,1
ocd,CBT FFC,1
ocd,medical information obsession compulsion link external website compulsive disorder information purpose responsible content party website advice doctor,0
ocd,Pure CBT Disorder Behavioural,0
ocd,Obsessive approximately understand,1
ocd,FFC obsessions friends,1
ocd,UK Disorder economic impact,1
ocd,Salkovskis Fulwood,1
ocd,FFC compulsions informative,1
ocd,compulsive disorder responsible content party website advice doctor medical information,0
ocd,treatment social UK impact Disorder economic,1
ocd,FFC CBT obsessions,1
ocd,neuropsychiatric ganglia predisposition,1
ocd,responsible content party website medical information obsession compulsion cognitive behavioural therapy,0
ocd,UK understanding Disorder,1
ocd,medical information obsession compulsion uk profit charity organisation information purpose cognitive behavioural therapy,0
ocd,The FFC carers,1
ocd,compulsive UK Disorder CBT,0
ocd,CBT Understanding obsessions Pure,1
ocd,autoimmune strep,1
ocd,FFC closely advice,1
ocd,compulsive disorder uk profit charity organisation children adult cognitive behavioural therapy,0
ocd,Neuropsychiatric neurochemicals,1
ocd,Trichotillomania Sensorimotor,1
ocd,Treating Obsessions What,0
ocd,Rodulph,1
ocd,uk profit charity organisation children adult obsession compulsion quality life,0
ocd,Pure CBT Understanding Behavioural,1
ocd,Pure CBT Disorder,1
ocd,CBT Pure O,1
ocd,compulsive disorder responsible content party website obsession compulsion quality life,0
ocd,compulsive disorder link external website quality life,0
ocd,advice doctor medical information children adult obsession compulsion,0
ocd,medical common UK understanding GP Disorder estimates,1
ocd,advice doctor information purpose obsession compulsion cognitive behavioural therapy,0
ocd,PANDAS disorder,1
ocd,medical information obsession compulsion compulsive disorder uk profit charity organisation cognitive behavioural therapy,0
