privateQuery,scrambledQuery,score
forearm pain,Tennis bone Elbow,0
forearm pain,lateral epicondylitis wrist extensor golfer elbow,0
forearm pain,tennis elbow bone elbow,0
forearm pain,elbow tendonitis arm nerve,0
forearm pain,toe toe elbow joint tennis elbow substitute medical advice hollow knee,1
forearm pain,epiconylitis elbowforearm,0
forearm pain,tennis elbow movement position hollow knee,0
forearm pain,Bothrops Plumbago,1
forearm pain,break skin contraction muscle tendon movement position elbow joint upper arm tennis elbow substitute medical advice hollow knee,0
forearm pain,tennis elbow wrist finger bone elbow,0
forearm pain,hollow knee elbow joint substitute medical advice,0
forearm pain,tennis elbow elbow joint lateral epicondylitis bone elbow,0
forearm pain,tendon elbow bone,1
forearm pain,break skin movement position elbow joint upper arm tennis elbow substitute medical advice hollow knee,0
forearm pain,elbow tennis tear,0
forearm pain,numbness joints toes,1
forearm pain,Lycop Littoralis,1
forearm pain,hollow knee elbow joint,0
forearm pain,tennis elbow wrist finger elbow tendonitis,0
forearm pain,Carpi tendonopathy,1
forearm pain,elbow swollen extreme,0
forearm pain,elbow tear wrist,0
forearm pain,joints upper leg,1
forearm pain,numbness fingers leg,1
forearm pain,elbow bone elbow joint tennis elbow bone elbow,0
forearm pain,abdominal,1
forearm pain,tearing foot,1
forearm pain,epicondyle overtime arm,1
forearm pain,upper arm hollow knee contraction muscle tendon substitute medical advice,1
forearm pain,sudden upper toes,1
forearm pain,epicondylitis elbow bones flexors wrist tennis,0
forearm pain,wrist extensor elbow tendonitis,0
forearm pain,toe toe upper arm tennis elbow substitute medical advice,0
forearm pain,elbow upper morning,0
forearm pain,tennis elbow movement position toe toe elbow joint,0
forearm pain,numbness Sudden,1
forearm pain,tennis injury arm nerve,0
forearm pain,epicondyle muscles nerves tendon,1
forearm pain,upper arm toe toe contraction muscle tendon substitute medical advice,0
forearm pain,elbow bone lateral epicondylitis elbow tendonitis elbow joint tennis elbow wrist extensor wrist finger golfer elbow,0
forearm pain,sudden upper toe,1
forearm pain,A Bothrops Costive,1
forearm pain,Clavatum Costive,1
forearm pain,upper arm tennis elbow break skin,0
forearm pain,skin fingers thigh,1
forearm pain,tennis muscles extensor epicondyle,1
forearm pain,Hydrast Costive,1
forearm pain,thigh swollen,1
forearm pain,elbow bone actions,0
forearm pain,elbow joint upper arm hollow knee,0
forearm pain,nerve tennis,0
forearm pain,bone elbow elbow tendonitis,0
forearm pain,toe toe elbow joint hollow knee,0
forearm pain,tennis elbow elbow joint wrist finger,0
forearm pain,tennis elbow movement position toe toe,0
forearm pain,joint skin leg,1
forearm pain,upper skin toes,1
forearm pain,tendons carpal,1
forearm pain,Hydrast Costive Littoralis,1
forearm pain,radialus,1
forearm pain,upper arm tennis elbow substitute medical advice hollow knee,0
